reaction_id,condition,flux_mmol_gDCW_h_FBA
UREAt,succinate,0
G3PD2,succinate,0
MANpts,succinate,0
G3PD5,succinate,0
GLCRD,succinate,0
4NOXDR,succinate,0
2KCHCCH,succinate,0
DABOT,succinate,0
PGI,succinate,-0.00252014683361
ASO3t1,succinate,0
4HTHRS,succinate,0
PGK,succinate,0.641228595779616
ASO3t2,succinate,0
SERtr,succinate,0
PGM,succinate,0.931828394907464
PGL,succinate,0
GLCRDH,succinate,0
NAMNPP,succinate,0
AGMT,succinate,0
MUCCYCI,succinate,0
MCCIS2,succinate,0
MCCIS5,succinate,0
MCCIS4,succinate,0
OCMPH1,succinate,0
NITRDT1p,succinate,0
GLYCt,succinate,0
THMB,succinate,0.003319605177886
OMPHHX3,succinate,0
MCCIS1,succinate,0
OCMPH2,succinate,0.000555914742708
PHBt,succinate,0
MNAO8,succinate,0
P5CR,succinate,0
LGTHL,succinate,0
MNAO9,succinate,0
GGLUCYSS,succinate,0
MNAO4,succinate,0
MNAO5,succinate,0
MNAO6,succinate,0
IMG3PS,succinate,0.040142338849652
MNAO7,succinate,0
AACTOOR,succinate,0
MNAO2,succinate,0
UAGPT2,succinate,0.015883278363091
MNAO3,succinate,0
FMETTRS,succinate,0
ALAabc,succinate,0
ME4PCT,succinate,0.009070940273161
HEMEOS,succinate,5.87681299434364E-05
DTO4CH,succinate,0
FLBZDD,succinate,0
ASPR,succinate,0
DHAt,succinate,0
S7PI,succinate,0.003780220250416
ACGApts,succinate,0
PDX5PS,succinate,0.003565795992514
HMPK1,succinate,0.003319605177886
DHADT1,succinate,0.218784217812396
PLIPASA1S_Nlimit,succinate,0
MCDC,succinate,0
DHADT2,succinate,0.055083209363199
ACPS1,succinate,0
DHPMD,succinate,0
MALTTTRabc,succinate,0
4HBZt,succinate,0
PCT3,succinate,0
PCT2,succinate,0
PGCM,succinate,-0.00252014683361
PCT1,succinate,0
DAPE,succinate,0.049905260616832
NUDPK10,succinate,0
GOX,succinate,0
ASPt,succinate,0
GLUPRT,succinate,0.028486130301596
FE2abc,succinate,5.87681299434364E-05
HISabc,succinate,0
4HBTt,succinate,0
BETALDHx,succinate,0
BETALDDH1,succinate,0
MALDDH,succinate,0
SUCCt2r,succinate,4.78025234990262
GSNt2,succinate,0
ILETA,succinate,-0.055083209363199
ASNS,succinate,0.066423870114446
PDH1,succinate,1.84852331531553
2AMBZC,succinate,0
ICDHx,succinate,1.31265148567947
PDH2,succinate,1.84852331531553
CLS_m,succinate,-0.004926992948476
CLPNS2,succinate,0.006145637480884
P5CD3,succinate,0
BPDDO,succinate,0
P5CD4,succinate,0
METAT,succinate,0.003335488456249
PDH3,succinate,1.84852331531553
P5CD5,succinate,0
BKAR2,succinate,0
PCNO,succinate,-0.000731710867631
DAPabc,succinate,0
4HBZDC,succinate,0
R15BPK,succinate,0
ASPK,succinate,0.271138150510204
MGSA,succinate,0
4HBZCT,succinate,0
PAPSR,succinate,0.053794016602729
IPMD,succinate,0.093965474796046
PAPSR2,succinate,0
GCALDD,succinate,0.001977468156205
PDX5POi,succinate,0.003565795992514
FGDM,succinate,0
NA1t,succinate,0
CRNCDH,succinate,0
NO3R1,succinate,0
FLVR,succinate,0
GALCTNt2r,succinate,0
FRUpts2,succinate,0
CATCHD1,succinate,0
CATCHD2,succinate,0
CATCHD3,succinate,0
CATCHD4,succinate,0
CATCHD5,succinate,0
HSERA,succinate,-0.027692495826049
TMPK,succinate,0
HSDy,succinate,-0.221232889893372
DHNPA,succinate,0.001977468156205
URItr,succinate,0
BUTNt,succinate,0
