reaction_id,condition,flux_mmol_gDCW_h_FBA
Phospholipid,fructose,0.014767994211028082
GLYCTO1p,fructose,0.0
SDPDS,fructose,0.05624368219521241
FUCt,fructose,0.0
VALTRS,fructose,0.0
SERDHT2,fructose,0.0
UBQBM,fructose,0.0
RNA,fructose,0.0179005990436704
PPCDC,fructose,0.0012977934306766903
PHAS,fructose,0.0
SUCD1,fructose,0.0
34DHFD,fructose,0.0
SUCDi,fructose,1.6360977136635597
ASCBptspp,fructose,0.0
SUCD4,fructose,0.0
CCHCCOAL,fructose,0.0
Ktr,fructose,0.0
PYDXO_1,fructose,0.0
GLUtr,fructose,0.0
URIt2,fructose,0.0
IDONt2r,fructose,0.0
CTPS2,fructose,0.02761286739813118
UAGCVT,fructose,0.0179005990436704
THRTRS,fructose,0.0
PTA2,fructose,0.0
CYTCOBO3,fructose,10.613110501409484
MAN1PT2,fructose,0.0
HIBDkt,fructose,0.0
BPHEHB,fructose,0.0
BPHEHA,fructose,0.0
TRPAS2,fructose,-0.0016229876466261166
THDPS,fructose,0.05624368219521241
GALCTD,fructose,0.0
GRTT,fructose,0.0013192741495185087
GLYC3Pabc,fructose,0.0
PYDXNO,fructose,0.0
HACDHG,fructose,0.0
TDPDRE,fructose,0.0
RNDR1,fructose,0.005216234561325555
RNDR2,fructose,0.009748069552548113
PC,fructose,0.0
RNDR3,fructose,0.009748069552548113
VALTA,fructose,-0.13937406415401776
RNDR4,fructose,0.005216234561325555
GF6PTA,fructose,0.11938953703834672
ATPADT,fructose,0.0
NTRLASE,fructose,0.0
ILEabc,fructose,0.0
AADT2,fructose,0.0
NITL2,fructose,0.0
GALUi,fructose,0.002840228381595704
NITL1,fructose,0.0
FMETDF,fructose,0.0
NITL5,fructose,0.0
4CRESOLD,fructose,0.0
NITL4,fructose,0.0
PPCOAC,fructose,0.0
PPA2,fructose,0.0
PHE2MO4,fructose,0.0
PPA,fructose,0.6335872280009813
PHE2MO5,fructose,0.0
Carbohydrate,fructose,0.01640888245669787
RPI,fructose,-0.13005501229189773
ALAtr,fructose,0.0
PYK,fructose,0.6215192599341288
IZPN,fructose,0.0
RPE,fructose,-0.1440294132786564
TYRTM,fructose,0.0
FABC150,fructose,0.0002886256788603329
CNTOB,fructose,0.0
FABC151,fructose,0.0
GTADT2,fructose,0.0
PMCOAD,fructose,0.0
GTADT1,fructose,0.0
TRDR,fructose,0.09055495375549563
ACLS,fructose,0.24657180152704858
GMHEPAT,fructose,0.004260342572393556
C181t,fructose,0.0
ACACt2,fructose,0.0
PTRCORNt7,fructose,0.0
MICITDr,fructose,0.0
3OXAPT,fructose,0.002488183267070185
Cofactors_and_vitamins,fructose,0.0089502995218352
TREH,fructose,0.0
HMR_0614,fructose,0.002840228381595704
GTPCI,fructose,0.002228624580936958
FORGD,fructose,0.0
AHCYSNS,fructose,0.0
XAND,fructose,0.0
UGMDDS,fructose,0.0179005990436704
OCTMBZM,fructose,0.0012530419330569283
ALLTC,fructose,0.0
FABC140,fructose,0.018696422682580635
FABC141,fructose,0.0
ACALDt,fructose,0.0
NADH16,fructose,8.974784163164987
CGS_m,fructose,0.0
NADH5,fructose,0.0
CYSGS2,fructose,0.0
GMHEPPA,fructose,0.004260342572393556
ALAR,fructose,0.0358011980873408
MALTHXabc,fructose,0.0
NADK,fructose,0.0013335946287538346
HETZK,fructose,0.0
OCDCAt2,fructose,0.0
ASPCT,fructose,0.04620084944507852
O2t,fructose,5.339374805678042
CYTDtr,fructose,0.0
DCYTt2,fructose,0.0
DATA2,fructose,0.0
ALATA_D,fructose,0.0
OHPBAKGT,fructose,0.004018684485227464
DATA3,fructose,0.0
AGPR,fructose,-0.09251029585768865
FRUP,fructose,0.0
THRD,fructose,0.0
OCDOR,fructose,0.0008246447967438082
DHDPRy,fructose,0.05624368219521241
ACMANApts,fructose,0.0
FUMAC,fructose,0.0
PTAr,fructose,-0.063466573909344
GLYAT,fructose,0.0
DHPD,fructose,0.0
NNAM,fructose,0.0
DPR,fructose,0.0012977934306766903
GLYt2r,fructose,0.0
TAGL2_Nlimit,fructose,0.0
E4PD,fructose,0.004018684485227464
KPENH,fructose,0.0
ADHEr,fructose,0.0
OCT,fructose,0.09251029585768865
HIStr,fructose,0.0
NTD9,fructose,0.0
FABC120,fructose,0.007389196632849594
NTD8,fructose,0.0
CCHNM2,fructose,0.0
34DHBt,fructose,0.0
NTD5,fructose,0.0
NTD4,fructose,0.0
NTD7,fructose,0.0
NTD6,fructose,0.0
ADNCYC,fructose,0.0
AHCi,fructose,0.0037591257991707846
ADHC2,fructose,0.0
CCHNM1,fructose,0.0
PRAIZC2,fructose,-0.028362902498120107
AMAA,fructose,0.0
