,loopless
NA1t,0.0
CRNCDH,0.0
NO3R1,-3.0819791163594346e-13
FLVR,0.0
GALCTNt2r,0.0
FRUpts2,0.0
CATCHD1,0.0
CATCHD2,0.0
CATCHD3,0.0
CATCHD4,0.0
CATCHD5,0.0
HSERA,0.021450596522973174
TMPK,0.0
HSDy,-0.1700536353466557
DHNPA,0.0014820195710933185
URItr,0.0
BUTNt,0.0
MECDPS,0.006798243992380666
GLNS,0.4052553749706453
GLNST2,0.011903771655368019
THMPT,-0.002487888275971916
CTBTCRNCT,0.0
2NAPTCT,0.0
SUCCS,0.0
P5CD,0.0
LDH_L,0.0
ASNN,0.0
L__LACD4,0.0
NACt,0.0
CMBLD1,0.0
CMBLD2,0.0
GLYCK,0.0
NODOx,0.0
CMBLD6,0.0
ORPT,-0.030723237850116335
NODOX2,-1.5409895581797173e-13
GLYCEK1,0.0
HSK,0.14860303882368253
CMBLD5,0.0
CMBLD4,0.0
CMBLD3,0.0
SELNPS,0.0
CMBLD7,0.0
2MNAPTH,0.0
CITNCL,0.0
ACTF2,0.0
ACTF3,0.0
CATCHD6,0.0
ACTF4,0.0
ACTF5,0.0
ENCOAH3,0.0
FDH2,0.0
ENCOAH4,0.0
ENCOAH1,0.0
ENCOAH2,0.0
ENCOAH7,0.0
GLTN1,0.0
GLTN2,0.0
ENCOAH5,0.0
ENCOAH6,0.0
GLTN3,0.0
AGMHE,0.002833097653977589
G3POAT,-8.786010113892573e-13
GCLDH,0.0
26DICH,0.0
PPPGO,2.2021977562430836e-05
FABC161,0.0016451488577574336
FABC160,0.0069918826458994264
GAPD,1.7240519173369515
THRabc,0.0
HISAL,0.0
METS,0.0
NITRDT1,0.0
UMPK,0.04357137539014355
NITRDT2,0.0
BTCOADm,0.0
TPI,-0.019282919704530613
PHBZMN,0.001654624260096156
ALTRH,0.0
DINSt2,0.0
ACOADH5,0.0
DADNt2,0.0
BTCOAD2,0.0
FTOLAM,0.0
R3HBNt,0.0
PROAKGOX1,0.0
ACONT2,1.4607158334683261
FABC171,0.0
FABC170,0.0028790105013393246
URAt2,0.0
AGPAT,0.0
MALPYRI,0.0
ACONT1,1.4607158334683261
ADCS,0.0014820195710933185
GSDH,0.0
ACOADH1,0.0
MAN6PI,0.0
DALAt2r,0.011903771655368019
SUCFUMt,0.0
ACOADH3,0.0
ACOADH4,0.0
ICL,0.0
APATr,-0.19659872473617312
UNK2,0.0
MOAT,0.0009443658846591964
DURIPP,0.0
LAAO6,0.0
PLIPASA1C_Nlimit,0.0
4HBTD,0.0
LAAO4,0.0
LAAO5,0.0
FABC190,0.0003290297715822396
LAAO2,0.0
ESTLP,0.0
GLTPD,0.0
TDP,0.0
LAAO3,0.0
TMDS,0.003468759060374241
EDTXS1,0.0009443658846591964
2H3CBZP,0.0
KAS16,0.0037774635386367858
EDTXS2,0.0009443658846591964
THMDtr,0.0
ASPTRS,0.0
FABC181,0.0028790105012461925
RZ5PP,0.0
FABC180,0.0002193531810434046
UDPG4E,0.0
ICITt,0.0
BZALDD4,0.0
BZALDD5,0.0
THRt,0.0
BZALDD6,0.002487888275971916
PDX5PSa,0.0
MAN6Pt6_2,0.0
BZALDD1,0.0
A5PISO,0.004721829423295982
BZALDD2,0.0
CATECHt,0.0
BZALDD3,0.0
GENt,0.0
ALKP,0.0014820195710933185
APRAUR,0.0022855241578306597
UMBM1,0.0
UMBM2,0.0
FOMETRi,0.0
ATPPRT,0.030084798897000112
DADK,0.0
RIBabc,0.0
URAtr,0.0
THRS,0.14860303882368253
GARFT,-0.048945928292544724
DNA,0.006150282021940144
UREA,0.0
GUAPRT,0.0
HMBS,4.404395512486167e-05
