sgRNA	readcount	timepoint	induction	sample
TU728 (nsiR6)_37	2	0h	u	1
sll5061_18	175	0h	u	1
sll0644_28	189	0h	u	1
Entry995_15	1	0h	u	1
Entry1928_3	156	0h	u	1
sll0752_27	280	0h	u	1
ssr2060_76	220	0h	u	1
Entry790_81	173	0h	u	1
ssl1507_52	1	0h	u	1
hisH_13	249	0h	u	1
Entry1182_29	2	0h	u	1
slr1425_20	1	0h	u	1
ssr6083_60	1	0h	u	1
lytR_74	106	0h	u	1
sll1401_56	130	0h	u	1
Entry1317_76	246	0h	u	1
Entry1617_49	1	0h	u	1
Entry117_103	184	0h	u	1
cpcF_58	339	0h	u	1
nCl0710 (CoiR1)_23	253	0h	u	1
Entry1314_29	99	0h	u	1
dnaJ3_46	45	0h	u	1
sll0005_31	78	0h	u	1
Entry1715_23	207	0h	u	1
sll6069_144	298	0h	u	1
slr0654_13	5	0h	u	1
Entry245_34	98	0h	u	1
slr0023_9	196	0h	u	1
sll1062_226	145	0h	u	1
sll1511_20	77	0h	u	1
Entry1908_26	1	0h	u	1
pheT_28	1	0h	u	1
Entry2092_38	149	0h	u	1
Entry2029_2	158	0h	u	1
Entry1960_1	466	0h	u	1
slr1196_6	175	0h	u	1
Entry1123_88	186	0h	u	1
Entry1514_2	246	0h	u	1
Entry830_99	74	0h	u	1
Entry1854_27	2	0h	u	1
Entry463_32	100	0h	u	1
Entry2068_42	309	0h	u	1
slr0476_58	1	0h	u	1
sll1389_12	188	0h	u	1
Entry1295_60	48	0h	u	1
Entry2063_31	414	0h	u	1
gumB_29	312	0h	u	1
Entry845_30	66	0h	u	1
sll0864_253	73	0h	u	1
slr1752_13	164	0h	u	1
alr_40	279	0h	u	1
Entry1926_46	170	0h	u	1
psbA1_10	141	0h	u	1
hisC_62	252	0h	u	1
Entry1194_4	8	0h	u	1
ssl8028_116	151	0h	u	1
vapB_22	2	0h	u	1
Entry1023_53	428	0h	u	1
slr0106_88	1	0h	u	1
sll0691_63	2	0h	u	1
sll0066_40	46	0h	u	1
slr1101_37	228	0h	u	1
desC(des9)_126	1	0h	u	1
Entry1636_67	1	0h	u	1
rps3_32	112	0h	u	1
ssl1378_9	188	0h	u	1
hisD_16	342	0h	u	1
Entry150_21	68	0h	u	1
Entry2054_91	220	0h	u	1
ssr2422_161	365	0h	u	1
sll1574_4	2	0h	u	1
rbcS_12	27	0h	u	1
Entry657_32	292	0h	u	1
sll1020_152	450	0h	u	1
fmu/fmv_50	624	0h	u	1
Entry2086_207	305	0h	u	1
slr0602_7	77	0h	u	1
slr2017_40	45	0h	u	1
sll7087_62	94	0h	u	1
psbU_13	233	0h	u	1
Entry256_5	161	0h	u	1
sll1624_46	619	0h	u	1
Entry557_99	94	0h	u	1
Entry618_101	200	0h	u	1
Entry1554_33	172	0h	u	1
Entry2080_35	1	0h	u	1
slr1161_88	288	0h	u	1
slr1846_6	135	0h	u	1
Entry1989_30	396	0h	u	1
sll1559_79	149	0h	u	1
Entry1372_5	311	0h	u	1
ssl7019_65	117	0h	u	1
sll1531_9	303	0h	u	1
sll8027_49	325	0h	u	1
sll1138_102	55	0h	u	1
sll1405_4	195	0h	u	1
ssl5045_129	91	0h	u	1
SyR7_153	3	0h	u	1
slr1913_22	75	0h	u	1
sll1024_35	228	0h	u	1
ssl1326_64	169	0h	u	1
sll1825_50	196	0h	u	1
slr1068_48	90	0h	u	1
slr1230_54	157	0h	u	1
slr0142_31	309	0h	u	1
petG_42	2	0h	u	1
Entry266_29	12	0h	u	1
sll1308_49	198	0h	u	1
sll5097_22	159	0h	u	1
sll0473_40	62	0h	u	1
zam_109	225	0h	u	1
sll1472_37	43	0h	u	1
ssr3571_39	109	0h	u	1
aroK_4	77	0h	u	1
Entry1460_32	169	0h	u	1
mgtE_33	68	0h	u	1
slr1142_75	171	0h	u	1
cysT_75	184	0h	u	1
sll0501_27	272	0h	u	1
ssr1391_85	4	0h	u	1
Entry264_64	340	0h	u	1
Entry1522_42	83	0h	u	1
slr0166_176	532	0h	u	1
sll1186_115	297	0h	u	1
nrtB_46	116	0h	u	1
ssr2898_74	110	0h	u	1
ssl1633_67	90	0h	u	1
slr0168_16	134	0h	u	1
Entry513_68	14	0h	u	1
guaB_31	181	0h	u	1
sll1656_5	244	0h	u	1
sll1765_29	177	0h	u	1
sll0198_10	510	0h	u	1
ssl6082_8	276	0h	u	1
Entry1823_128	405	0h	u	1
slr0544_32	519	0h	u	1
dpm1_28	289	0h	u	1
citH_37	364	0h	u	1
hisS_11	161	0h	u	1
gldA_5	162	0h	u	1
Entry1099_55	436	0h	u	1
slr1028_23	120	0h	u	1
Entry61_23	143	0h	u	1
psbJ_20	79	0h	u	1
Entry1162_114	279	0h	u	1
ho2_8	212	0h	u	1
sll0793_159	307	0h	u	1
gshB_42	323	0h	u	1
psbO_12	56	0h	u	1
Entry904_15	411	0h	u	1
Entry1011_31	173	0h	u	1
sll0812_48	637	0h	u	1
ssr2439_32	312	0h	u	1
fda_46	368	0h	u	1
slr1920_85	240	0h	u	1
sll5046_14	168	0h	u	1
sll1384_12	378	0h	u	1
slr1931_34	102	0h	u	1
slr7076_64	249	0h	u	1
hemK_34	200	0h	u	1
ureC_32	148	0h	u	1
slr1425_9	79	0h	u	1
cbiL_4	1	0h	u	1
sll1386_17	101	0h	u	1
Entry31_38	71	0h	u	1
sll1739_94	2	0h	u	1
Entry210_21	70	0h	u	1
slr0468_45	83	0h	u	1
Entry1159_0	198	0h	u	1
Entry1072_21	103	0h	u	1
Entry365_23	1	0h	u	1
Entry787_69	2	0h	u	1
slr1215_29	1	0h	u	1
hypC_39	5	0h	u	1
slr1739_41	115	0h	u	1
Entry584_90	196	0h	u	1
sll0853_124	287	0h	u	1
slr5055_7	315	0h	u	1
fmt_110	2	0h	u	1
Entry2000_35	167	0h	u	1
Entry993_29	107	0h	u	1
Entry1479_8	25	0h	u	1
slr1143_72	76	0h	u	1
Entry125_0	245	0h	u	1
sll0280_35	268	0h	u	1
slr1444_40	224	0h	u	1
sll0086_58	188	0h	u	1
Entry1999_72	1	0h	u	1
hitB_64	384	0h	u	1
sll0022_17	257	0h	u	1
Entry853_44	246	0h	u	1
Entry1539_41	501	0h	u	1
slr1726_19	3	0h	u	1
slr1393_94	171	0h	u	1
lysS_16	147	0h	u	1
Entry765_44	178	0h	u	1
Entry1_80	223	0h	u	1
leuD_20	162	0h	u	1
rps15_4	203	0h	u	1
pcrR_118	79	0h	u	1
mtfB_228	143	0h	u	1
ssl5096_88	221	0h	u	1
slr1635_48	9	0h	u	1
ssr6032_17	285	0h	u	1
slr6012_9	445	0h	u	1
Entry783_3	151	0h	u	1
sll0400_109	175	0h	u	1
slr1597_19	239	0h	u	1
slr6103_85	324	0h	u	1
slr0592_10	132	0h	u	1
slr2037_53	1	0h	u	1
sfsA_15	136	0h	u	1
ssl0832_94	242	0h	u	1
ssr2972_90	165	0h	u	1
sll1623_4	167	0h	u	1
sll0506_33	6	0h	u	1
slr0930_21	374	0h	u	1
slr0073_15	353	0h	u	1
slr0458_29	2	0h	u	1
hisS2_8	53	0h	u	1
slr0954_37	1	0h	u	1
slr1544_8	304	0h	u	1
Entry541_50	257	0h	u	1
Entry1172_128	173	0h	u	1
pgm_77	272	0h	u	1
Entry352_60	3	0h	u	1
ssl2245_53	115	0h	u	1
ureG_35	298	0h	u	1
slr0856_134	2917	0h	u	1
ssl3364_61	84	0h	u	1
hrcA_29	609	0h	u	1
ESI3_44	105	0h	u	1
lpxC_21	224	0h	u	1
Entry1349_7	56	0h	u	1
ccmL_48	1	0h	u	1
sll1692_140	707	0h	u	1
slr1266_32	1	0h	u	1
slr5056_14	1	0h	u	1
sll2011_37	149	0h	u	1
slr1174_50	121	0h	u	1
slr1363_97	52	0h	u	1
sll0376_37	2	0h	u	1
