Protein,Location,FRC 0.05,FRC 0.1,FRC 0.15,FRC 0.2,FRC 0.25
H16_A0113,Cytoplasm,6.24755490559277e-4,7.201944315706279e-4,8.294622878794863e-4,9.957859021774505e-4,0.0010897939134498068
H16_A0114,Cell_membrane,4.106285333185201e-6,7.064012190294854e-6,5.2311065210172134e-6,8.70974600399579e-6,6.079740815125099e-6
H16_A0116,Cell_membrane,9.329476782694801e-7,2.306130832352459e-6,2.007541684938533e-6,2.832968254058596e-6,8.913647516254781e-5
H16_A0118,Cytoplasm,4.190608379036499e-4,4.6998957875727233e-4,4.3344289007318765e-4,5.416813092353579e-4,3.6759493692237736e-4
H16_A0120,Cytoplasm,4.5600442138516515e-6,3.0237194817566336e-6,6.887711932697016e-6,1.6195466966477432e-5,4.386847639918751e-6
H16_A0122,Cytoplasm,1.2405645081208642e-5,1.6790458027228033e-5,1.7691914835128205e-5,2.2384109686261255e-5,1.7999800943310412e-5
H16_A0123,Cytoplasm,6.115588363064034e-5,7.5053535867507e-5,9.460379735349993e-5,1.5121272577808652e-4,1.349779562869048e-4
H16_A0124,Cytoplasm,5.602350997771577e-6,2.5478125708704734e-6,1.925225661899448e-6,1.6592272994348288e-5,2.850977328375813e-6
H16_A0125,Cytoplasm,3.3310432348067145e-6,1.298327261263607e-6,3.637905012909352e-6,6.266680457030264e-6,4.012463975502596e-6
H16_A0126,Cytoplasm,1.7548777479215084e-4,1.0865338317605774e-4,6.749641328249395e-5,9.691162676373654e-5,8.022152770684693e-5
H16_A0128,Cell_membrane,7.046196340589988e-7,6.207784379091648e-6,4.026631397317383e-6,8.394537879889747e-6,9.146477206593759e-7
H16_A0129,Cytoplasm,4.0186614799670406e-5,2.6043306688640305e-5,1.5371979233217197e-5,1.3278480295042228e-5,1.6566933516148924e-5
H16_A0131,Cytoplasm,4.070935499607304e-6,2.228410656868508e-6,3.4166443814408705e-6,2.5117646305754027e-6,2.260292548562527e-6
H16_A0132,Cytoplasm,1.4435926080952047e-6,4.239875618466065e-7,2.1271584870935163e-6,4.953004372093876e-6,2.8871736703516695e-6
H16_A0133,Cell_membrane,3.738928936580686e-5,4.522721499747145e-5,4.238939563007794e-5,4.243235433039861e-5,6.214499344899605e-5
H16_A0134,Cell_membrane,3.224544533815233e-6,8.674636156629211e-6,1.2840805940033624e-5,7.754517462804889e-6,1.3824256727890401e-5
H16_A0135,Cytoplasm,4.10185999419998e-5,5.02323331999561e-5,4.5230061051936265e-5,5.217960483353671e-5,4.720236181444021e-5
H16_A0136,Cytoplasm,2.846891113598809e-5,2.620656206585828e-4,6.689791881108736e-5,3.474305497829623e-5,8.434085927794984e-5
H16_A0137,Cytoplasm,2.8432435486198604e-5,NaN,8.034159788572063e-6,1.730687010779514e-5,2.9251669982729267e-5
H16_A0138,Cytoplasm,2.0027611255066257e-4,1.8393393746262497e-4,1.577581033025842e-4,1.4529618288679224e-4,1.2503523027155062e-4
H16_A0139,Cytoplasm,9.067796916301645e-5,1.376376951952611e-4,1.4783424375393496e-4,1.4421016449884025e-4,1.6497826711395962e-4
H16_A0140,Cell_membrane,1.7778459527603332e-5,3.090981581366022e-5,2.2857669068124442e-5,1.2393825180559135e-5,1.4999896721819916e-5
