,gene,reaction_id,reaction_name,reaction_reaction,LB_medium,EX_fru_e_EX_nh4_e,EX_succ_e_EX_nh4_e,EX_formate_e_EX_nh4_e
1816,H16_B1699,ACLDn,Alcohol dehydrogenase,hmnapth_c + nad_c --> h_c + nadh_c + napthah_c,0,0,0,0
1817,H16_B1745,ALCDd,Alcohol dehydrogenase,34dhmald_c + h_c + nadh_c <=> 34dhoxpeg_c + nad_c,0,0,0,0
1818,H16_B1745,ALCDt,Alcohol dehydrogenase,t3chp_c --> 3chroald_c + h2_c,0,0,0,0
1819,H16_B1745,ALCDH_pqq_x,Alcohol dehydrogenase,2napthm_c + nad_c --> 2napald_c + h_c + nadh_c,0,0,0,0
1820,H16_B1745,ACLDc,Alcohol dehydrogenase,c3chp_c --> c3chroald_c + h2_c,0,0,0,0
1821,H16_B1745,ALCD2x,Alcohol dehydrogenase (ethanol),etoh_c + nad_c <=> acald_c + h_c + nadh_c,0,0,0,0
1822,H16_B1745,ACLDn,Alcohol dehydrogenase,hmnapth_c + nad_c --> h_c + nadh_c + napthah_c,0,0,0,0
1823,H16_A3330,ALCDd,Alcohol dehydrogenase,34dhmald_c + h_c + nadh_c <=> 34dhoxpeg_c + nad_c,0,0,0,0
1824,H16_A3330,ALCDt,Alcohol dehydrogenase,t3chp_c --> 3chroald_c + h2_c,0,0,0,0
1825,H16_A3330,ALCDH_pqq_x,Alcohol dehydrogenase,2napthm_c + nad_c --> 2napald_c + h_c + nadh_c,0,0,0,0
1826,H16_A3330,ACLDc,Alcohol dehydrogenase,c3chp_c --> c3chroald_c + h2_c,0,0,0,0
1827,H16_A3330,ALCD2x,Alcohol dehydrogenase (ethanol),etoh_c + nad_c <=> acald_c + h_c + nadh_c,0,0,0,0
1828,H16_A3330,ACLDn,Alcohol dehydrogenase,hmnapth_c + nad_c --> h_c + nadh_c + napthah_c,0,0,0,0
1829,H16_B1433,ALCDd,Alcohol dehydrogenase,34dhmald_c + h_c + nadh_c <=> 34dhoxpeg_c + nad_c,0,0,0,0
1830,H16_B1433,ALCDt,Alcohol dehydrogenase,t3chp_c --> 3chroald_c + h2_c,0,0,0,0
1831,H16_B1433,ALCDH_pqq_x,Alcohol dehydrogenase,2napthm_c + nad_c --> 2napald_c + h_c + nadh_c,0,0,0,0
1832,H16_B1433,ACLDc,Alcohol dehydrogenase,c3chp_c --> c3chroald_c + h2_c,0,0,0,0
1833,H16_B1433,ALCD2x,Alcohol dehydrogenase (ethanol),etoh_c + nad_c <=> acald_c + h_c + nadh_c,0,0,0,0
1834,H16_B1433,ACLDn,Alcohol dehydrogenase,hmnapth_c + nad_c --> h_c + nadh_c + napthah_c,0,0,0,0
1835,H16_A2422,3CMUCC,"3-carboxy-cis,cismuconate cycloisomerase",carccm_c + h_c <=> gcarmclc_c,0,0,0,0
1836,H16_B2289,3CMUCC,"3-carboxy-cis,cismuconate cycloisomerase",carccm_c + h_c <=> gcarmclc_c,0,0,0,0
1837,H16_B1931,ICDHyr,Isocitrate dehydrogenase (NADP),icit_c + nadp_c <=> akg_c + co2_c + nadph_c,0,0,0,0
1838,H16_A3056,ICDHyr,Isocitrate dehydrogenase (NADP),icit_c + nadp_c <=> akg_c + co2_c + nadph_c,0,0,0,0
1839,H16_A3322,IG3PS,Indole-3-glycerolphosphate synthase,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,0,1,1,1
1840,H16_A0782,CYTDA,Cytosine deaminase,5mcsn_c + h2o_c + h_c <=> nh4_c + thym_c,0,0,0,0
1841,H16_B1195,FALDH,Formaldehyde dehydrogenase,hmgth_c + nad_c <=> Sfglutth_c + h_c + nadh_c,0,0,0,0
1842,H16_B0208,FDFT2,Farnesyl-diphosphate farnesyltransferase,nadph_c + psdp_c --> nadp_c + ppi_c + sql_c,0,0,0,0
1843,H16_B0208,FDFT1,Farnesyl-diphosphate farnesyltransferase,2.0 frdp_c --> h_c + ppi_c + psdp_c,0,0,0,0
1844,H16_B1559,GLBRAN2,"1,4-alpha-glucan branching enzyme (glycogen -> bglycogen)",glycogen_c --> bglycogen_c,0,0,0,0
1845,H16_A3633,UPPDC2,Uroporphyrinogen decarboxylase,4.0 h_c + uppg1_c --> 4.0 co2_c + cpppg1_c,0,0,0,0
1846,H16_A3633,UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c,0,0,0,0
1847,H16_A3161,SKDH,Shikimate dehydrogenase,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c,1,1,1,1
1848,H16_B1581,MTTGH,5-methyltetrahydropter oyltriglutamate-homocysteine methyltransferase,5mtglu_c + hcys__L_c --> met__L_c + tglu_c,0,0,0,0
1849,H16_A0606,TDSK,Tetraacyldisaccharide 4'kinase,atp_c + lipidAds_c --> adp_c + 2.0 h_c + lipidA_c,1,1,1,1
1850,H16_B0538,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1851,H16_B0538,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1852,H16_B0538,IMLTAP,ATPase (isomaltose),HC00229_e + atp_c + h2o_c --> HC00229_c + adp_c + h_c + pi_c,0,0,0,0
1853,H16_B0187,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1854,H16_B0187,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1855,H16_B2575,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1856,H16_B2575,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1857,H16_A2683,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1858,H16_A2683,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1859,H16_A2683,IMLTAP,ATPase (isomaltose),HC00229_e + atp_c + h2o_c --> HC00229_c + adp_c + h_c + pi_c,0,0,0,0
1860,H16_A2943,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1861,H16_A2943,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1862,H16_A3646,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1863,H16_A3646,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1864,H16_A3646,IMLTAP,ATPase (isomaltose),HC00229_e + atp_c + h2o_c --> HC00229_c + adp_c + h_c + pi_c,0,0,0,0
1865,H16_B1571,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1866,H16_B1571,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1867,H16_A1282,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1868,H16_A1282,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1869,H16_B1613,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1870,H16_B1613,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1871,H16_B1613,IMLTAP,ATPase (isomaltose),HC00229_e + atp_c + h2o_c --> HC00229_c + adp_c + h_c + pi_c,0,0,0,0
1872,H16_A0711,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1873,H16_A0711,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1874,H16_A0983,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1875,H16_A0983,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1876,H16_A1118,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1877,H16_A1118,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1878,H16_A0728,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1879,H16_A0728,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1880,H16_A0260,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
1881,H16_A0260,DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + 2.0 h_c + ppi_c,0,0,0,0
1882,H16_B2325,DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0,0,0,0
