gene,model,barseq
H16_A0323,0,0
H16_B1584,0,0
H16_A1967,0,1
H16_A1511,1,0
H16_A1313,0,0
H16_B2229,0,0
H16_A3087,1,0
H16_A2959,1,1
H16_B0131,0,0
H16_A2049,1,1
H16_A1956,0,1
H16_B2398,0,0
H16_A2577,0,0
H16_A2434,0,0
H16_A0786,0,0
H16_B1399,0,0
H16_A2009,0,0
H16_A3372,0,0
H16_A3344,0,0
H16_A3366,0,0
H16_A2859,0,1
H16_A1960,0,0
H16_B1714,0,0
H16_A0850,0,0
H16_A0851,0,0
H16_A1264,0,0
H16_A0852,0,0
H16_B1715,0,0
H16_A3130,0,0
H16_A1265,0,1
H16_A3128,0,1
H16_A1266,0,0
H16_A3131,0,0
H16_A3600,0,0
H16_A0367,1,1
H16_A2908,0,0
H16_A1850,0,0
H16_A2945,0,1
H16_A2614,0,0
H16_A2612,0,0
H16_B0549,0,0
H16_A3678,0,0
H16_A0243,1,1
H16_A0374,1,1
H16_A0519,0,0
H16_A2911,0,0
H16_A3147,1,1
H16_B1388,0,1
H16_A1968,0,0
H16_B1583,0,0
H16_A0147,0,0
H16_A3319,0,0
H16_A3320,0,0
H16_A0230,0,1
H16_A1975,0,0
H16_B1564,0,0
H16_B1558,0,0
H16_A0273,0,0
H16_A3664,0,1
H16_B1191,0,0
H16_A3049,0,1
H16_A0208,0,1
H16_A3663,0,0
H16_B2131,0,0
H16_A1655,0,0
H16_A0233,0,0
H16_A3737,0,0
H16_A0615,0,0
H16_A0186,0,0
H16_B2494,0,0
H16_A2385,0,0
H16_A1547,0,1
H16_A1235,0,0
H16_A2343,0,0
H16_A0356,0,0
H16_A3321,0,0
H16_A1786,0,1
H16_B0970,0,0
H16_B0981,0,0
H16_B2073,0,0
H16_B0339,0,0
H16_B2401,0,0
H16_B1014,0,0
H16_A1150,0,0
H16_A2862,0,0
H16_B1199,0,0
H16_A2507,0,0
H16_A0336,0,0
H16_A2508,0,1
H16_B1198,0,1
H16_B0127,0,0
H16_A3190,0,0
H16_B1691,0,0
H16_B1864,0,0
H16_B1690,0,0
H16_B1692,0,0
H16_B1502,0,0
H16_A1502,0,0
H16_A2265,0,1
H16_A0566,0,1
H16_B1385,0,0
H16_A0493,0,0
H16_A0332,0,1
H16_B2565,0,0
H16_A2589,0,0
H16_A0044,0,0
H16_B0536,0,0
H16_A1966,0,0
H16_A0504,1,1
H16_A1789,0,0
H16_A0235,1,0
H16_A3106,0,1
H16_A0274,0,0
H16_B1143,0,1
H16_B2255,0,0
H16_A2179,0,0
H16_A0517,0,0
H16_A0322,0,0
H16_A3412,0,0
H16_A3410,0,0
H16_A3273,1,1
H16_A3699,0,1
